Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
125071270,Writing for Busy Readers: Communicate More Effectively in the Real World,Todd Rogers,"Rogers, Todd",Jessica Lasky-Fink,"=""0593187490""","=""9780593187494""",0,3.94,Dutton,Kindle Edition,253,2023,,,2023/11/13,currently-reading,currently-reading (#291),currently-reading,,,,1,0
109238891,Code Red (Mitch Rapp #22),Kyle Mills,"Mills, Kyle",Vince Flynn,"=""""","=""""",0,4.42,Atria/Emily Bestler Books,Kindle Edition,384,2023,2023,,2023/11/02,currently-reading,currently-reading (#290),currently-reading,,,,1,0
188878397,Web3: Charting the Internet's Next Economic and Cultural Frontier,Alex Tapscott,"Tapscott, Alex",,"=""0063299968""","=""9780063299962""",0,3.76,Harper Business,Kindle Edition,336,2023,,,2023/10/18,currently-reading,currently-reading (#289),currently-reading,,,,1,0
75665850,Clear Thinking: Turning Ordinary Moments into Extraordinary Results,Shane Parrish,"Parrish, Shane",,"=""0593086112""","=""9780593086124""",0,4.23,Portfolio,Kindle Edition,284,2023,,,2023/10/11,currently-reading,currently-reading (#288),currently-reading,,,,1,0
128576714,"Level Up: How to Get Focused, Stop Procrastinating, and Upgrade Your Life",Rob Dial,"Dial, Rob",,"=""0063224739""","=""9780063224735""",0,4.58,HarperOne,Kindle Edition,256,2023,2023,,2023/10/11,currently-reading,currently-reading (#287),currently-reading,,,,1,0
198384619,Blockchain Explained: Your Ultimate Guide to the Tokenization of Finance,Peter Gaffney,"Gaffney, Peter","Kyle Sonlin, Herwig Konings","=""1960346040""","=""9781960346049""",0,5.00,Authors Unite Publishing,Kindle Edition,314,2023,,,2023/10/06,currently-reading,currently-reading (#286),currently-reading,,,,1,0
125116612,"Think Faster, Talk Smarter: How to Speak Successfully When You're Put on the Spot",Matt Abrahams,"Abrahams, Matt",,"=""""","=""""",0,3.75,Simon Element / Simon Acumen,Kindle Edition,254,2023,,,2023/10/01,currently-reading,currently-reading (#285),currently-reading,,,,1,0
8271601,Watch You Bleed: The Saga of Guns N' Roses,Stephen Davis,"Davis, Stephen",,"=""""","=""""",0,3.75,,Kindle Edition,451,,2008,,2023/09/24,currently-reading,currently-reading (#284),currently-reading,,,,1,0
55020029,Dead Simple Python: Idiomatic Python for the Impatient Programmer,Jason C.  McDonald,"McDonald, Jason C.",,"=""1718500939""","=""9781718500938""",0,4.28,No Starch Press,Kindle Edition,705,2022,,,2023/09/24,currently-reading,currently-reading (#283),currently-reading,,,,1,0
61201532,Python for Cybersecurity: Using Python for Cyber Offense and Defense,Howard E Poston,"Poston, Howard E",,"=""""","=""""",0,4.67,Wiley,Kindle Edition,221,2022,,,2023/09/24,currently-reading,currently-reading (#282),currently-reading,,,,1,0
58620307,The Power of Flexing: How to Use Small Daily Experiments to Create Big Life-Changing Growth,Susan J. Ashford,"Ashford, Susan J.",,"=""""","=""""",0,3.53,Harper Business,Kindle Edition,304,2021,,,2023/09/10,currently-reading,currently-reading (#281),currently-reading,,,,1,0
123839589,"How to Take Smart Notes in Obsidian Beginner to Advance Techniques: Templates, Tagging, Folding, Embedding, digital Zettelkasten and Mind Mapping with Canvas Plugin",Fiola Publishing,"Publishing, Fiola",,"=""""","=""""",0,3.06,,Kindle Edition,66,2023,,,2023/09/10,currently-reading,currently-reading (#280),currently-reading,,,,1,0
